product,average_quantity_sold,total_quantity_sold,total_revenue,estimated_price_per_unit,projected_60_day_quantity,projected_60_day_revenue,recommended_inventory_order,reason
Kurkure Green Chutney Rajastha,188.0,188.0,280.12,1.49,11280.0,16807.2,12408.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Kurkure Masala Munch 130G,227.0,227.0,338.23,1.49,13620.0,20293.8,14982.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Kurkure Masala Twisteez,99.0,99.0,98.01,0.9900000000000001,5940.0,5880.6,6534.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Kurkure Naughty Tomato,177.0,177.0,263.73,1.4900000000000002,10620.0,15823.800000000003,11682.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Kurkure Puffcorn 150G,103.0,103.0,153.47,1.49,6180.0,9208.2,6798.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Kushal Kanthil,11.0,11.0,27.39,2.49,660.0,1643.4,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
L.G Hing (50G),23.0,23.0,45.77,1.9900000000000002,1380.0,2746.2000000000003,1518.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LAXMI SONA MASOORI 4LB,21.0,21.0,125.79,5.99,1260.0,7547.400000000001,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LION HONEY COMBO,46.0,46.0,226.54,4.924782608695652,2760.0,13592.399999999998,3036.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LIRIL SOAP 100gms,1.0,1.0,1.49,1.49,60.0,89.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LX AJWAIN SEEDS 200GM,5.0,5.0,19.95,3.9899999999999998,300.0,1197.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LX mega Jumbo samosa 125g,3.0,3.0,44.97,14.99,180.0,2698.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LX.MUKHWAS CALCUTTA 200G,4.0,4.0,15.96,3.99,240.0,957.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LX.MUKHWAS GUJARATI 200G,15.0,15.0,29.85,1.99,900.0,1791.0,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LX.MUKHWAS RED 200G,18.0,18.0,32.22,1.79,1080.0,1933.2,1188.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
LYCA SIM,6.0,6.0,29.94,4.99,360.0,1796.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Lakmi Castor Oil 500Gm,16.0,16.0,98.84,6.1775,960.0,5930.400000000001,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Lakshmi Ganesh Idol,1.0,1.0,9.99,9.99,60.0,599.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Lal Qilla Basmathi extra long 10lb,12.0,12.0,179.88,14.99,720.0,10792.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Lamsa Flavoured Tea 450G,6.0,6.0,32.94,5.489999999999999,360.0,1976.3999999999999,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Lasa Lamsa Mix 100 T Bags,2.0,2.0,11.98,5.99,120.0,718.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Lasa Lamsa Mix 450G,9.0,9.0,71.91,7.989999999999999,540.0,4314.599999999999,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxm Chana Dal 2 Lb,31.0,31.0,123.69,3.9899999999999998,1860.0,7421.4,2046.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Aged Basmati Rice 10Lb,13.0,13.0,220.87,16.990000000000002,780.0,13252.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Aged Basmati Rice 4Lb,5.0,5.0,34.95,6.99,300.0,2097.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ajwain Seeds 400G,17.0,17.0,84.83,4.99,1020.0,5089.8,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi All Purpose Flour(2 Lbs),31.0,31.0,92.69,2.9899999999999998,1860.0,5561.4,2046.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi All Purpose Flour(4Lbs),16.0,16.0,79.84,4.99,960.0,4790.400000000001,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Almond 400G,10.0,10.0,59.9,5.99,600.0,3594.0,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Almonds 800G,11.0,11.0,120.89,10.99,660.0,7253.400000000001,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Aloo Paratha 400G,12.0,12.0,35.88,2.99,720.0,2152.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Amchur Powder 200Gm,15.0,15.0,44.85,2.99,900.0,2691.0,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Baigan Bharta 284g,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bajri Floor,8.0,8.0,23.92,2.99,480.0,1435.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bay Leaves 57G,30.0,30.0,59.7,1.99,1800.0,3582.0,1980.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Better Gourd 300G,5.0,5.0,4.47,0.8939999999999999,300.0,268.2,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bhakri Flour,3.0,3.0,17.97,5.989999999999999,180.0,1078.1999999999998,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bhel Chutnuy,8.0,8.0,31.92,3.99,480.0,1915.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bhind Cut 300G,24.0,24.0,35.76,1.49,1440.0,2145.6,1584.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bhindi Cut 2Lb,17.0,17.0,84.83,4.99,1020.0,5089.8,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Black Eye Peas 2Lb,30.0,30.0,119.7,3.99,1800.0,7182.0,1980.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Black Eye Peas 4Lb,25.0,25.0,174.75,6.99,1500.0,10485.0,1650.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Black Papper Whole 200G,30.0,30.0,139.7,4.656666666666666,1800.0,8382.0,1980.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Black Pepper Whole 100G,28.0,28.0,73.22,2.6149999999999998,1680.0,4393.2,1848.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Black Sesame Seeds 400G,3.0,3.0,11.97,3.99,180.0,718.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Brown Basamti Rice,5.0,5.0,84.95,16.990000000000002,300.0,5097.000000000001,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Brown Basmati Rice 4Lb,2.0,2.0,11.98,5.99,120.0,718.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Brown Sesame Seeds 400G,28.0,28.0,111.72,3.9899999999999998,1680.0,6703.2,1848.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Brown Sona masoori 10Lb,5.0,5.0,84.95,16.990000000000002,300.0,5097.000000000001,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Bullet Naan 1.2Kg,8.0,8.0,71.92,8.99,480.0,4315.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Butter Ghee 56Oz/3.5Lb,15.0,15.0,463.85,30.923333333333336,900.0,27831.000000000004,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Calonji - 200G,22.0,22.0,54.78,2.49,1320.0,3286.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cardamom Powder 100G,3.0,3.0,26.97,8.99,180.0,1618.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cardamom Seeds 100G,6.0,6.0,35.94,5.989999999999999,360.0,2156.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cashew Pcs 400G,57.0,57.0,341.43,5.99,3420.0,20485.8,3762.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cashew Pieces (800G),21.0,21.0,272.79,12.99,1260.0,16367.4,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cashew Pieces 3Lb,12.0,12.0,203.88,16.99,720.0,12232.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Chakki Atta /20Lb,2.0,2.0,33.98,16.99,120.0,2038.7999999999997,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Chakki Atta 10Lb,11.0,11.0,109.89,9.99,660.0,6593.400000000001,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Chana Dal(4 Lbs),15.0,15.0,104.85,6.989999999999999,900.0,6290.999999999999,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Chili Pmedium Heat 350G,3.0,3.0,14.97,4.99,180.0,898.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cinnamon Stick 200G,9.0,9.0,35.91,3.9899999999999998,540.0,2154.6,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Clove Whole 200G,17.0,17.0,101.83,5.99,1020.0,6109.8,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Clove Whole(100G),19.0,19.0,78.81,4.1478947368421055,1140.0,4728.6,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Coconut Flakes 400G,32.0,32.0,159.68,4.99,1920.0,9580.800000000001,2112.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Coconut Powder Fine 400G,21.0,21.0,83.79,3.99,1260.0,5027.400000000001,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Coconut Powder Med 800Gm,36.0,36.0,283.64,7.878888888888889,2160.0,17018.399999999998,2376.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cold Pres Peanut Oil 5Lt,41.0,41.0,1413.59,34.47780487804878,2460.0,84815.4,2706.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cold Pressed Mustard Oil 2L,17.0,17.0,224.83,13.22529411764706,1020.0,13489.800000000001,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Concentrate 32Oz,11.0,11.0,131.89,11.989999999999998,660.0,7913.399999999999,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Coriander Chutney 8Oz,7.0,7.0,27.93,3.9899999999999998,420.0,1675.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Coriander Powder Jar400g,4.0,4.0,15.96,3.99,240.0,957.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Coriander Pwdr 400G,36.0,36.0,143.64,3.9899999999999998,2160.0,8618.4,2376.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Corn Oil /2.84L,2.0,2.0,31.98,15.99,120.0,1918.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Corriander Powder 800Gm,10.0,10.0,47.92,4.792,600.0,2875.2,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Corriander Pwdr 200G,38.0,38.0,75.62,1.9900000000000002,2280.0,4537.200000000001,2508.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Corriander Seeds 200Gm,34.0,34.0,101.66,2.9899999999999998,2040.0,6099.599999999999,2244.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Corriander Seeds 400G,26.0,26.0,103.74,3.9899999999999998,1560.0,6224.4,1716.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cracked Wheat 2Lb,7.0,7.0,24.43,3.4899999999999998,420.0,1465.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cracked Wheat 4Lb,5.0,5.0,29.95,5.99,300.0,1797.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Crushed P Chikki,29.0,29.0,72.21,2.4899999999999998,1740.0,4332.599999999999,1914.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Crushed Red Chili 200G,9.0,9.0,22.41,2.49,540.0,1344.6000000000001,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Crushed Red Chilli 250G,4.0,4.0,11.96,2.99,240.0,717.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Crystal S Masoori 20Lb,13.0,13.0,365.87,28.143846153846155,780.0,21952.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cumin Powder 200G,17.0,17.0,54.83,3.2252941176470586,1020.0,3289.7999999999997,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cumin Powder 800Gm,4.0,4.0,43.96,10.99,240.0,2637.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cumin Seeds 200G,49.0,49.0,171.01,3.4899999999999998,2940.0,10260.599999999999,3234.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cumin Seeds 400Gm,66.0,66.0,395.34,5.989999999999999,3960.0,23720.399999999998,4356.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Cumin Seeds 800G,37.0,37.0,480.63,12.99,2220.0,28837.8,2442.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Dalia Split (400G),32.0,32.0,95.68,2.99,1920.0,5740.8,2112.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Dalia/ Split Chick- 800G,14.0,14.0,69.86,4.99,840.0,4191.6,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Desi Besan,7.0,7.0,48.93,6.99,420.0,2935.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Desi Besan 2LB,8.0,8.0,27.92,3.49,480.0,1675.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Desi Jaggery 4.4Lb,6.0,6.0,41.94,6.989999999999999,360.0,2516.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Dhoop(8 Sticks),12.0,12.0,23.88,1.99,720.0,1432.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Extra Hot,12.0,12.0,35.88,2.99,720.0,2152.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Extra Hot Red Chili 400G,17.0,17.0,84.83,4.99,1020.0,5089.8,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Extra L Basmati Rice 10,14.0,14.0,237.86,16.990000000000002,840.0,14271.600000000002,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Extralong Basmati 40Lb,4.0,4.0,219.96,54.99,240.0,13197.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Fansi(French Beans)300G,9.0,9.0,17.91,1.99,540.0,1074.6,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Fenel Seeds -400Gm,48.0,48.0,293.52,6.114999999999999,2880.0,17611.199999999997,3168.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Fennel Seeds 200Gm,56.0,56.0,173.44,3.097142857142857,3360.0,10406.4,3696.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Fenugreek Whole 520G,2.0,2.0,13.98,6.99,120.0,838.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Flaxseeds 400G,10.0,10.0,39.9,3.9899999999999998,600.0,2394.0,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Football Masoor 2Lb,13.0,13.0,51.87,3.9899999999999998,780.0,3112.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Football Masoor 4Lb,19.0,19.0,132.81,6.99,1140.0,7968.6,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Fresh Paneer 340g,6.0,6.0,35.94,5.989999999999999,360.0,2156.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Fried Onion 400G,27.0,27.0,107.73,3.99,1620.0,6463.8,1782.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Garam Masala 200G,21.0,21.0,62.79,2.9899999999999998,1260.0,3767.3999999999996,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Garam Masala 350G,2.0,2.0,15.98,7.99,120.0,958.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Garam Masala 400G,21.0,21.0,104.79,4.99,1260.0,6287.400000000001,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Garlic Butter Naan12pcs,27.0,27.0,215.73,7.989999999999999,1620.0,12943.8,1782.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Garlic Paste 24Oz,29.0,29.0,173.71,5.99,1740.0,10422.6,1914.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Garlic Paste 9Oz,16.0,16.0,47.84,2.99,960.0,2870.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ghee 14Oz,22.0,22.0,225.78,10.262727272727274,1320.0,13546.800000000001,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ghee 800G/28Oz,11.0,11.0,192.89,17.535454545454545,660.0,11573.4,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ging Garlic Paste 24Oz,48.0,48.0,287.52,5.989999999999999,2880.0,17251.199999999997,3168.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Gingelly Oil 5 Lt,7.0,7.0,244.93,34.99,420.0,14695.800000000001,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ginger Garlic Paste 8Oz,20.0,20.0,59.8,2.9899999999999998,1200.0,3587.9999999999995,1320.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ginger Paste (24Oz),13.0,13.0,77.87,5.99,780.0,4672.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ginger Paste(8Oz),13.0,13.0,38.87,2.9899999999999998,780.0,2332.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Ginger Powder(200G),14.0,14.0,41.86,2.9899999999999998,840.0,2511.6,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Gobi Paratha 400G,7.0,7.0,20.93,2.9899999999999998,420.0,1255.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Goddess,10.99,10.99,30.94,2.815286624203822,659.4,1856.4,725.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Golden Raisians 800G,38.0,38.0,306.62,8.068947368421053,2280.0,18397.2,2508.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Golden Raisins 400G,34.0,34.0,169.66,4.99,2040.0,10179.6,2244.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Gram Flour Besan 4 Lbs,37.0,37.0,221.63,5.99,2220.0,13297.800000000001,2442.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Gram Flour Besan(2Lbs),90.0,90.0,358.6,3.9844444444444447,5400.0,21516.0,5940.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Grated Coconut 1.2Kg,34.0,34.0,271.66,7.990000000000001,2040.0,16299.600000000002,2244.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Grated Coconut 400Gm,102.0,102.0,304.98,2.99,6120.0,18298.800000000003,6732.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Green Cardamom 100G,33.0,33.0,287.67,8.717272727272729,1980.0,17260.200000000004,2178.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Green Cardamom 200G,44.0,44.0,677.56,15.399090909090908,2640.0,40653.6,2904.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Green Peas 300G,94.0,94.0,187.06,1.99,5640.0,11223.6,6204.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Green Vatana 2LB,3.0,3.0,11.97,3.99,180.0,718.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Green Vatana 2Lb,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Green Vatana 4LB,2.0,2.0,11.98,5.99,120.0,718.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Guar Beans Frozen 300gm,24.0,24.0,64.76,2.6983333333333337,1440.0,3885.6000000000004,1584.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Homestyle Paratha 15pcs,3.0,3.0,20.97,6.989999999999999,180.0,1258.1999999999998,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Idli Rava 4Lb,40.0,40.0,201.6,5.04,2400.0,12096.0,2640.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Idli Rice - 20Lb,19.0,19.0,461.81,24.30578947368421,1140.0,27708.6,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Idli Rice 10Lb,17.0,17.0,237.83,13.99,1020.0,14269.800000000001,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Idly Rava 2Lb,51.0,51.0,152.49,2.99,3060.0,9149.400000000001,3366.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Idly Rice 4Lb,10.0,10.0,59.9,5.99,600.0,3594.0,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Idol,1.0,1.0,35.99,35.99,60.0,2159.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jaggery (Gud) 2Kg,6.0,6.0,41.94,6.989999999999999,360.0,2516.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jaggery (Gud) 800Gm,2.0,2.0,7.98,3.99,120.0,478.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jaggery Balls 2Lb,8.0,8.0,31.92,3.99,480.0,1915.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jaggery Cubes 2Lb,22.0,22.0,87.78,3.99,1320.0,5266.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jalapeno & Cheese Samosa 20pcs,6.0,6.0,41.94,6.989999999999999,360.0,2516.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jumbo Peanut 4Lb,122.0,122.0,974.78,7.99,7320.0,58486.8,8052.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jumbo Punjabi Samosa,6.0,6.0,35.94,5.989999999999999,360.0,2156.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Jumbo Samosa,5.0,5.0,69.95,13.99,300.0,4197.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Juwar Flour 2Lb,22.0,22.0,65.78,2.99,1320.0,3946.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kabuli Chana 2Lb,22.0,22.0,87.78,3.99,1320.0,5266.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kabuli Chana 4Lb,49.0,49.0,342.51,6.99,2940.0,20550.600000000002,3234.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kala Chana (4Lb),12.0,12.0,83.88,6.989999999999999,720.0,5032.799999999999,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kala Chana 2Lb,26.0,26.0,103.74,3.9899999999999998,1560.0,6224.4,1716.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kala Chana 8Lb,2.0,2.0,21.98,10.99,120.0,1318.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kala Jeera 100G,13.0,13.0,38.87,2.9899999999999998,780.0,2332.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kashmiri Chili Whole200G,42.0,42.0,195.58,4.656666666666667,2520.0,11734.800000000001,2772.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kashmiri Chill poder 400G,35.0,35.0,248.65,7.104285714285714,2100.0,14919.0,2310.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kasmiri Powder 200Gm,18.0,18.0,71.82,3.9899999999999998,1080.0,4309.2,1188.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kerala Kuthari Matta Ric,3.0,3.0,77.97,25.99,180.0,4678.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kesar Mango Pulp(850G),15.0,15.0,66.85,4.456666666666666,900.0,4010.9999999999995,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kolhapuri Mamra400G,40.0,40.0,119.6,2.9899999999999998,2400.0,7175.999999999999,2640.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Kurmura Laddu,60.0,60.0,119.4,1.99,3600.0,7164.0,3960.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Lacha Paratha 400G,13.0,13.0,38.87,2.9899999999999998,780.0,2332.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Loose Black Tea 2LB,16.0,16.0,127.84,7.99,960.0,7670.400000000001,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Low Gi Basmati Rice 10Lb,19.0,19.0,322.81,16.99,1140.0,19368.6,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Low Gi Basmati Rice 4Lb,1.0,1.0,7.99,7.99,60.0,479.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi MUKHWAS GREEN 200G,21.0,21.0,38.39,1.8280952380952382,1260.0,2303.4,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Mahab.Roasted Chana 400G,25.0,25.0,85.75,3.43,1500.0,5145.0,1650.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Mamra Basmati 400G,40.0,40.0,119.6,2.9899999999999998,2400.0,7175.999999999999,2640.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Masoor Dal 2Lb,16.0,16.0,63.84,3.99,960.0,3830.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Masoor Dal 4Lb,11.0,11.0,76.89,6.99,660.0,4613.400000000001,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Laxmi Masoor Whole 2Lb,17.0,17.0,67.83,3.9899999999999998,1020.0,4069.7999999999997,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
